gene_id,gene_mapping_id,gene_product,go_terms
150,94,P08913,GO:0001819!GO:0004938!GO:0005515!GO:0005737!GO:0005886!GO:0005887!GO:0007186!GO:0007265!GO:0007266!GO:0008284!GO:0010700!GO:0016323!GO:0019901!GO:0030036!GO:0030335!GO:0031696!GO:0031996!GO:0032147!GO:0032148!GO:0032795!GO:0032870!GO:0035624!GO:0042593!GO:0042802!GO:0042803!GO:0043235!GO:0043406!GO:0043410!GO:0045741!GO:0045955!GO:0046676!GO:0046982!GO:0050796!GO:0050892!GO:0050995!GO:0051044!GO:0051379!GO:0051380!GO:0061179!GO:0071875!GO:0071881!GO:0071882!GO:0090303
151,95,P18089,GO:0004938!GO:0005515!GO:0005886!GO:0005887!GO:0007186!GO:0007267!GO:0009986!GO:0010700!GO:0032148!GO:0035624!GO:0043410!GO:0045666!GO:0051379!GO:0071875
152,96,P18825,GO:0004938!GO:0005515!GO:0005737!GO:0005768!GO:0005886!GO:0005887!GO:0007186!GO:0007267!GO:0010700!GO:0031694!GO:0032148!GO:0035624!GO:0042802!GO:0042803!GO:0043410!GO:0045666!GO:0046982!GO:0050796!GO:0051379!GO:0071875
153,97,P08588,GO:0004939!GO:0004940!GO:0005088!GO:0005515!GO:0005769!GO:0005886!GO:0005887!GO:0007186!GO:0007190!GO:0030165!GO:0031694!GO:0043547!GO:0045187!GO:0046982!GO:0071880
154,98,P07550,GO:0001540!GO:0002032!GO:0004941!GO:0005515!GO:0005764!GO:0005768!GO:0005794!GO:0005886!GO:0005887!GO:0006898!GO:0007166!GO:0007171!GO:0007186!GO:0007188!GO:0007190!GO:0008333!GO:0010008!GO:0010739!GO:0015459!GO:0016579!GO:0030665!GO:0031398!GO:0042802!GO:0042803!GO:0043235!GO:0043410!GO:0044877!GO:0051380!GO:0061024!GO:0071875!GO:0071902!GO:1901098!GO:1904504!GO:1904646!GO:1990911!GO:2000481!GO:2000969
155,99,P13945,GO:0002032!GO:0004939!GO:0005515!GO:0005886!GO:0005887!GO:0005975!GO:0006091!GO:0006112!GO:0006898!GO:0007186!GO:0007187!GO:0007188!GO:0007190!GO:0015052!GO:0042803!GO:0043235!GO:0043410!GO:0051380
156,100,P25098,GO:0003108!GO:0005515!GO:0005737!GO:0005829!GO:0005886!GO:0005929!GO:0007186!GO:0007217!GO:0019079!GO:0031623!GO:0031755!GO:0045988!GO:0046718!GO:0047696!GO:0060048!GO:1901081
157,101,P35626,GO:0004672!GO:0005515!GO:0005829!GO:0005886!GO:0007165!GO:0007186!GO:0031623!GO:0047696
158,102,P30566,GO:0004018!GO:0005829!GO:0006164!GO:0006167!GO:0009168!GO:0032991!GO:0042802
159,103,P30520,GO:0004019!GO:0005515!GO:0005829!GO:0005886!GO:0006167!GO:0009168
